"Drug","Gene","Gene name","ICD","gene_ICD_ref","drug_gene_ref","Drug repo potential","Explanation","Literature evidence (pre 2018)","Literature evidence (post 2018)","Clinical trials","FDA approval","EMA approval","EMA obs"
"ALOGLIPTIN","GIP","Gastric Inhibitory Polypeptide","AGE RELATED OSTEOPOROSIS","Medline_26642272,Patent_EP1119625A1,Patent_EP1119625B1,Patent_US20130137631,Patent_US6410508,Patent_US20130196913,Patent_US8895498,Patent_US20080312157,Patent_US20090036364,Patent_US20130281374,Patent_US8263545,Patent_US8404637,Patent_US9133260","Patent_US20130059872,Medline_25227623,Pmcoa_4166248","YES","1) DPP-4 may be positively related to IL-6 presence, a proinflammatory cytokine that stimulates osteoclastogenesis and bone reabsorption (Zheng et al. 2015); 2) DPP-4 inhibition seems to enhance 25-hydroxy vitamin D3 (25(OH)-D) availability, which is related with growth and remodeling of bone through influence on calcium and phosphate seric levels (Yang et al. 2017); 3) As mentioned previously, DPP-4 inhibition increases GLP-1 and GIP, both associated with bone formation with additional impact of GIP on osteoclast inhibition (Schiellerup et al. 2019) (Yang et al. 2017). With all that, Alogliptin presents potential to treat osteoporosis via PDD-4 inhibition and consequent GIP enhancement.","NO","NO","NO","YES","YES","AUTHORIZED"
"NIMOTUZUMAB","IGFBP3","Insulin-like growth factor-binding protein 3","AGE RELATED OSTEOPOROSIS","Pmcoa_4294440,Medline_25610822,Patent_US6518238,Patent_US6514937,Patent_WO1998036764A2,Patent_WO2000020024A2,Patent_WO2000006191A1","Pmcoa_3540017,Medline_23232108","YES","2 months rhIGF-I/IGFBP-3 infusion in patients with recent hip fracture presented beneficial effects (Boonen et al. 2002), reinforcing the potential involvement of IGFBP-3 in bone formation (Anabolic Treatments for Osteoporosis ). IGFBP-3 level is known to be affected by epidermal growth factor receptor (EGFR)  (Zhao et al. 2012) (Zhao et al. 2012). In addition, EGFR had been indicated as potential target to treat osteoporosis according to a PPI network approach (Zhang et al. 2016). EGFR signaling is important for maintaining osteoprogenitor population at an undifferentiated stage since its activation in undifferentiated osteoprogenitors attenuated the expression of early bone markers such as Runx2 (Zhu et al. 2011) (...) Nimotuzumab EGFR inhibition modules Runx2, an overrepresented gene for osteoporosis module according to the present work, and upregulates IGFRP-3, one of the genes pointed out by WDD search and which enhancement is indicated to be beneficial for bone formation.","NO","NO","NO","NOT FOUND","YES","orphan designation EU/3/04/220"
"BETRIXABAN","F10","Coagulation Factor X","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","Pmcoa_4365552,Medline_25864630,Medline_25890027,Medline_17114499,Medline_8578503","Patent_US20150224091,Patent_US20080153876,Patent_US8404724,Patent_WO2013033370A1,Pmcoa_3283221,Pmcoa_3595681,Pmcoa_3743339,Pmcoa_4548753,Pmcoa_4428103,Pmcoa_3763648,Patent_EP2146705B1,Medline_19132191,Patent_EP2414517A1,Patent_EP2453910B1,Medline_23964817,Medline_29543384,Medline_27881569,Medline_29338293,Patent_EP2146705A2,Patent_EP2814955A1,Patent_EP2193196A2,Patent_EP2364165A2,Patent_EP2193196B1,Patent_EP2364165B1,Patent_EP2915564A1,Patent_EP3078743A1,Patent_EP3121271A1,Patent_EP2414517B1,Patent_EP2453910A1,Patent_US20100125052,Patent_EP2586439A1,Patent_US20080279845,Patent_US20110033459,Patent_US9062298,Patent_US20130230901,Patent_US20140079684,Patent_EP3254674A1,Patent_US20150057228,Patent_US20150376592,Patent_US20150025011,Patent_US20130129693,Patent_US20160002617,Patent_US20160354449,Patent_US20090098119,Patent_US20110015128,Patent_US20170014492,Patent_US20120095019,Patent_US20140044773,Patent_US20140134151,Patent_US20140323497,Patent_US20100255000,Patent_US20120269788,Patent_US9023796,Patent_US20170233711,Patent_US20170240879,Patent_US8153590,Patent_US8946219,Patent_US9587233,Patent_US8455441,Patent_US9388401,Patent_US9109046,Patent_US9056106,Patent_US8889129,Patent_WO2010056765A2,Patent_US8455439,Patent_WO2008137787A2,Patent_WO2010117729A1,Patent_US8268783,Patent_WO2013123087A1,Patent_WO2011008885A1,Patent_WO2009042962A2,Patent_WO2012031018A1,Pmcoa_3158856,Pmcoa_3782407,Pmcoa_4489817,Patent_WO2017211779A1,Pmcoa_4762436,Patent_EP1948608A2,Patent_EP1948608B1","YES",NA,"NO","NO","NO","NO (discontinued)","NO","REFUSED authorization"
"DAREXABAN","F10","Coagulation Factor X","ANTI PHOSPHOLIPID ANTIBODY SYNDROME","Pmcoa_4365552,Medline_25864630,Medline_25890027,Medline_17114499,Medline_8578503","Pmcoa_3295208,Medline_27121937,Medline_22031623,Pmcoa_5850258,Medline_22040919,Medline_22382330,Medline_23929659,Medline_25438755,Medline_22616561,Medline_23211396,Medline_23167531,Medline_23754514,Medline_21878434,Medline_22642721,Medline_23200896,Medline_27128609,Medline_23591155,Pmcoa_3283221","YES",NA,"NO","NO","NO","NOT FOUND","NOT FOUND","-"
"EVODENOSON","ADORA2A","Adenosine A2a Receptor","ARTHRITIS","Pmcoa_4609967,Medline_23283732,Pmcoa_5622197","Patent_US20080312160A1,Medline_16622196,Pmcoa_2096525,Medline_19558673,Pmcoa_5476886,Pmcoa_2811859,Pmcoa_5522836,Pmcoa_3927137,Pmcoa_2711962,Pmcoa_3598653,Medline_20385073","YES","ADORA2A agonist treatment was shown to reduce inflammation in experimental arthritis (10.1177/1753425912470391). Evodenoson (ATL 313) is a novel ADORA2A agonist that could be used to treat arthritis (10.1128/IAI.74.5.2606-2612.2006)","NO","NO","NO","NOT FOUND","NOT FOUND","-"
"CHEMBL3126832","BIRC5","survivin","ARTHRITIS","Pmcoa_4652986,Medline_17635796,Pmcoa_5428713,Pmcoa_4516528,Medline_25381389","Medline_23900601,Medline_29752686","YES","Survivin (BIRC5) is upregulated in infection-related arthritis (10.1111/j.1365-3083.2007.01977.x) and its downregulation alleviates experimental arthritis (10.1189/jlb.3A0714-317R). CHEMBL3126832 (OBP-801) and GATAPARSEN (LY2181308) have been shown to reduce survinvin expression in cancer (10.1097/JTO.0000000000000285, 10.1007/s10549-018-4815-x)","NO","NO","NO","NOT FOUND","NOT FOUND","-"
"GATAPARSEN","BIRC5","survivin","ARTHRITIS","Pmcoa_4652986,Medline_17635796,Pmcoa_5428713,Pmcoa_4516528,Medline_25381389","Pmcoa_4224095,Medline_25436803,Pmcoa_5053666","YES",NA,"NO","NO","NO","NOT FOUND","NOT FOUND","-"
"EPTIFIBATIDE","DUSP2","Dual specificity protein phosphatase 2","ARTHRITIS","Pmcoa_4222916,Pmcoa_5760626","Medline_16113794,Pmcoa_2812850","YES",NA,"NO","NO","NO","YES","YES","AUTHORIZED"
"UPAMOSTAT","PLAU","Plasminogen Activator, Urokinase","ARTHRITIS","Patent_US5444153,Patent_WO1991009124A1,Patent_US20030096733,Patent_WO2003033009A2,Pmcoa_154426,Medline_12716448,Pmcoa_4516528,Pmcoa_2991036,Pmcoa_2888184","Pmcoa_3590684,Medline_23412098","YES","Urokinase (PLAU) is an essential component of the inflammed synovial fluid in arthritis (10.1186/ar606,10.1111/j.1582-4934.2009.00721.x). Upamostat is a urokinase inhibitor which could be used to reduce the negative effects of this protein in arthritis inflammed joints (10.1038/bjc.2013.62).","NO","NO","NO","NOT FOUND","NOT FOUND","-"
"EPA ETHYL ESTER","APOB","Apolipoproein B","ASEPTIC NECROSIS OF BONE","Pmcoa_4282735,Pmcoa_4247152,Medline_17530370","Patent_WO2015066512A1,Patent_US20140357717,Pmcoa_5282870,Medline_22819432,Patent_US20160058729","YES","ApoB C7623T polymorphism is are predicts risk for steroid-induced osteonecrosis of the femoral head (ONFH). Moskal et al. suggested a systemic effect of hypercholesterolemia in the pathophysiology of osteonecrosis due to elevated serum cholesterol levels (PMID: 9316722). The use of omega-3 fatty acid eicosapentaenoic acid (EPA) has been related to cardiovascular benefits due to the lowering serum triglyceride (TG) and non-high-density lipoprotein cholesterol (non-HDL-C) levels (10.1186/s12944-017-0415-8). Pravastatin (CS-514) is a competitive inhibitor of 3-hydroxy-3-methylglutaryl coenzyme A reductase and its use appears to treat heterozygous familial hypercholesterolemia (10.1016/0026-0495(87)90046-1). Kynamro is a anti-ApoB drug that reduces serum LDL in familial hypercholesterolemia patients. Reducing cholesterol levels via EPA or Pravastatin in steroid induced osteonecrosis patients could be benefitial.","NO","NO","NO","NOT FOUND","NO","European Commission final decision"
"KYNAMRO","APOB","Apolipoproein B","ASEPTIC NECROSIS OF BONE","Pmcoa_4282735,Pmcoa_4247152,Medline_17530370","Pmcoa_5090806,Pmcoa_4345304,Pmcoa_5341404","YES",NA,"NO","NO","NO","NO (discontinued)","NO","REFUSED authorization"
"PLECONARIL","CYP3A","Cytochrome P450 Family 3 Subfamily A Member 4","ASEPTIC NECROSIS OF BONE","Medline_17787012,Medline_19997828","Medline_16467135,Medline_16397289","YES",NA,"NO","NO","NO","NOT FOUND","NOT FOUND","-"
"UNII-88928BS57E","CXCL2","C-X-C Motif Chemokine Ligand 2","CHRONIC ULCERATIVE COLITIS","Pmcoa_2644704,Medline_23272179,Pmcoa_3525572,Pmcoa_4812449","Medline_28749086,Pmcoa_5722510","YES","CXCL2 and its receptor, CXCR2, are increased in the lamina propria and submucosa of colitis-associated colon cancer mice in a macrophage and neutrophil migration related maner. PLAG (1-palmitoyl-2-linoleoyl-3-acetyl-rac-glycerol) was shown to reduce CXCL2 levels in neutrophils.PLAG might be usefull to downregulate CXCL2 in colitis patients.","NO","NO","NO","NOT FOUND","NOT FOUND","-"
"AT7519","MCL1","Induced myeloid leukemia cell differentiation protein","CROHN'S DISEASE","Medline_18266233,Medline_28190086","Pmcoa_4891027,Pmcoa_3940382","YES","MCL1 is increased in response to IL6 and is involved in Crohn's disease induced liver fibrosis (10.1007/s00441-017-2576-1). AT7519 is a MCL1 inhibitor that might be used to reduce inflammatory response related to fibrosis in CD (10.1038/mi.2013.102)","NO","NO","NO","NOT FOUND","NOT FOUND","-"
"LANTHANUM CARBONATE","FGF23","Fibroblast Growth Factor 23","KAWASAKI DISEASE","Medline_24168888,Pmcoa_3832880","Medline_21436379,Pmcoa_4170220,Medline_24885942,Pmcoa_5509238,Pmcoa_3379863,Pmcoa_4107721","YES",NA,"NO","NO","NO","YES","YES","List of nationally authorised medicinal products"
"BUROSUMAB","FGF23","Fibroblast Growth Factor 23","KAWASAKI DISEASE","Medline_24168888,Pmcoa_3832880","Pmcoa_5826173,Patent_US20150353633,Patent_EP3151859A1,Medline_29947083,Pmcoa_6223702,Medline_29679282,Pmcoa_6073187","YES",NA,"NO","NO","NO","YES","YES","AUTHORIZED"
"VERUCERFONT","CRHR1","Corticotropin Releasing Hormone Receptor 1","PSORIASIS","Medline_22350180,Medline_22360979,Medline_19560286","Medline_27109623,Pmcoa_4082482,Medline_29505471,Pmcoa_5652029","YES","CRH receptor type 1 (CRHR1) expression was found to be down regulated and colocalized with mast cells in psoriatic skin because in part of CRH overstimulation  (Vasiadi et al. 2012) (Asadi et al. 2012). Repeated stimulation of mast cells with CRH (1 μM) also leads to NK-1 upregulated expression in vitro, contributing to explain the inflammatory response in psoriatic sites (Asadi et al. 2012). CRHR1 antagonists have been tested to treat dependent anxious alcoholics and both Verucerfont and Pexacerfont, drugs indicated by WD search, have promising results in a personalized medicine approach (Zorrilla et al. 2013). Antagonizing CRHR1 with these drugs could be a strategy to modulate the overstimulation of the receptor by CRH in psoriatic lesions.","NO","NO","NO","NOT FOUND","NO","withdrawn from the Community register of designated orphan medicinal products"
"PEXACERFONT","CRHR1","Corticotropin Releasing Hormone Receptor 1","PSORIASIS","Medline_22350180,Medline_22360979,Medline_19560286","Medline_27362504,Medline_28807676,Pmcoa_4928795,Medline_27595147,Medline_29064909,Medline_27109623,Pmcoa_3671664,Pmcoa_4462850,Pmcoa_3765344","YES",NA,"NO","NO","NO","NOT FOUND","NOT FOUND","-"
"P-HYDROXYPHENYL","NR4A1","Nuclear Receptor Subfamily 4 Group A Member 1","PSORIASIS","Medline_26932821,Pmcoa_4774191,Pmcoa_4829133","Pmcoa_4452731,Patent_US20160303081","YES","Nuclear Receptor Subfamily 4 Group A (NR4A) are overexpressed in inflamed human tissues such as psoriatic skin (Murphy and Crean 2015). Those receptors are rapidly induced in activated cells, thus probably mediating inflammatory signals (McMorrow and Murphy 2011). In this sense, it is possible to point out NR4A inhibition as a potential approach to treat inflammatory chronic diseases. WDD search indicated PHENYL, 4-HYDROXY- as potentially related to NR4A, and it was possible to find  [2,3,4-trimethoxy-6-(i-octanoyl)phenyl]acetate (TMPA) as a NR4A antagonist, even though its mechanism of action is still unclear (Safe et al. 2016).","NO","NO","NO","NOT FOUND","NOT FOUND","-"
"DEHSPM","ODC1","Ornithine decarboxylase","PSORIASIS","Medline_8374143,Medline_7068977,Medline_7104206,Patent_EP0372941A2","Medline_8371417,Medline_1628366,Patent_US20020045780,Patent_US6235794","YES",NA,"NO","NO","NO","NOT FOUND","NOT FOUND","-"
