Id,Label,timeset,class,modularity_class,componentnumber,Degree,Label_copy
ANKYLOSING SPONDYLARTHRITIDES,,,disease,1,0,97,ANKYLOSING SPONDYLARTHRITIDES
AORTIC ARCH SYNDROME,,,disease,1,0,15,AORTIC ARCH SYNDROME
CROHN'S DISEASE,Crohn's disease,,disease,3,0,228,CROHN'S DISEASE
HENOCH-SCHONLEIN PURPURA,,,disease,1,0,18,HENOCH-SCHONLEIN PURPURA
SARCOIDOSIS,,,disease,0,0,119,SARCOIDOSIS
CSF1R,,,gene,3,0,3,
MMP9,,,gene,1,0,11,
PTGER4,,,gene,1,0,4,
CNR1,,,gene,1,0,4,
DKK1,,,gene,1,0,5,
IL17A,,,gene,1,0,14,
LPL,,,gene,1,0,3,
AHSG,,,gene,1,0,3,
PEPD,,,gene,1,0,3,
BMP7,,,gene,1,0,2,
NFATC1,,,gene,1,0,3,
LIF,,,gene,1,0,2,
IL33,,,gene,1,0,11,
IL1RN,,,gene,0,0,7,
IL18,,,gene,3,0,9,
HLA-DRB1,,,gene,1,0,10,
VWF,,,gene,1,0,6,
IGAN1,,,gene,1,0,8,
IL10,,,gene,1,0,15,
PTX3,,,gene,1,0,4,
HMGB1,,,gene,1,0,10,
IL2RA,,,gene,1,0,13,
IGHA1,,,gene,1,0,3,
HLA-DRB4,,,gene,1,0,11,
HLA-B,,,gene,1,0,6,
MRAP,,,gene,1,0,3,
CASP1,,,gene,1,0,2,
CYP2D6,,,gene,1,0,2,
TAP1,,,gene,0,0,4,
CD163,,,gene,1,0,3,
MMP3,,,gene,1,0,6,
B2M,,,gene,1,0,5,
MEFV,,,gene,1,0,5,
ERAP2,,,gene,1,0,1,
ANTXR2,,,gene,1,0,1,
MIR146A,,,gene,1,0,6,
TRH,,,gene,1,0,1,
SCT,,,gene,1,0,1,
IL23A,,,gene,1,0,9,
SOCS1,,,gene,1,0,3,
KIR3DL1,,,gene,1,0,2,
PTPN22,,,gene,3,0,6,
RNASE3,,,gene,1,0,3,
ANKH,,,gene,1,0,1,
ALPL,,,gene,1,0,1,
PDCD1,,,gene,0,0,5,
CSF2,,,gene,0,0,5,
SYNPR,,,gene,1,0,1,
IL17RA,,,gene,1,0,4,
VIP,,,gene,0,0,6,
TAP2,,,gene,0,0,4,
TNFRSF10A,,,gene,1,0,3,
GDF15,,,gene,1,0,1,
EDN1,,,gene,1,0,9,
CREG1,,,gene,1,0,1,
RUNX3,,,gene,1,0,2,
TNFSF15,,,gene,3,0,4,
TNFRSF10B,,,gene,1,0,2,
JMY,,,gene,1,0,1,
KDM5A,,,gene,1,0,1,
QPCT,,,gene,1,0,1,
MECOM,,,gene,1,0,1,
CA1,,,gene,1,0,3,
CCR7,,,gene,3,0,2,
BMP6,,,gene,1,0,1,
TMEM106C,,,gene,1,0,1,
IRF4,,,gene,1,0,1,
CCL21,,,gene,1,0,2,
HLA-C,,,gene,3,0,3,
CCL19,,,gene,1,0,1,
PPARGC1B,,,gene,1,0,1,
HDAC3,,,gene,1,0,1,
TNFSF10,,,gene,1,0,2,
H3P6,,,gene,1,0,1,
PON1,,,gene,1,0,2,
TNFAIP1,,,gene,1,0,1,
CDK9,,,gene,1,0,2,
IL12B,,,gene,1,0,11,
BW52,,,gene,1,0,1,
CCL5,,,gene,1,0,7,
CD80,,,gene,0,0,4,
MMP2,,,gene,0,0,4,
HSPA4,,,gene,0,0,5,
CHI3L1,,,gene,0,0,4,
STAT3,,,gene,3,0,6,
CCR2,,,gene,3,0,4,
STAT1,,,gene,0,0,5,
TP53,,,gene,0,0,6,
FOXP3,,,gene,0,0,6,
CD4,,,gene,0,0,3,
IL13,,,gene,3,0,6,
SAA1,,,gene,0,0,4,
RBM45,,,gene,0,0,6,
NELFCD,,,gene,0,0,3,
IL17C,,,gene,3,0,3,
FCGR3A,,,gene,0,0,3,
ANXA1,,,gene,3,0,2,
IL6R,,,gene,3,0,3,
TNFRSF1B,,,gene,0,0,3,
CD86,,,gene,0,0,2,
CTLA4,,,gene,0,0,5,
FAP,,,gene,3,0,2,
MT1JP,,,gene,0,0,2,
PLA2G1B,,,gene,3,0,3,
CXCL16,,,gene,3,0,2,
SLC11A1,,,gene,0,0,4,
KLRK1,,,gene,3,0,4,
CD274,,,gene,0,0,5,
MIP,,,gene,3,0,2,
NR2C2,,,gene,3,0,2,
IRF5,,,gene,3,0,4,
FOXO3,,,gene,3,0,3,
IL17F,,,gene,3,0,5,
MYDGF,,,gene,3,0,3,
TBC1D9,,,gene,3,0,2,
BCHE,,,gene,3,0,2,
MUC2,,,gene,3,0,2,
PTGS1,,,gene,3,0,2,
CCR9,,,gene,3,0,3,
MADCAM1,,,gene,3,0,2,
ITGAE,,,gene,0,0,2,
GPBAR1,,,gene,3,0,2,
MSH2,,,gene,3,0,2,
NKX2-3,,,gene,3,0,2,
SEMA4A,,,gene,3,0,2,
NOD1,,,gene,0,0,2,
DMBT1,,,gene,3,0,2,
CLDN2,,,gene,3,0,2,
MIR31,,,gene,3,0,3,
EIM,,,gene,3,0,2,
CCL25,,,gene,3,0,2,
XBP1,,,gene,3,0,2,
TRAF3IP2,,,gene,3,0,4,
ATG16L1,,,gene,3,0,2,
IBD5,,,gene,3,0,1,
IL18BP,,,gene,3,0,2,
TLR5,,,gene,3,0,1,
DEFB4A,,,gene,3,0,2,
DLG5,,,gene,3,0,1,
IL10RA,,,gene,3,0,2,
SLC22A4,,,gene,3,0,1,
SPINK1,,,gene,3,0,1,
PTPN2,,,gene,3,0,1,
LTA,,,gene,3,0,2,
AOC1,,,gene,3,0,2,
IRGM,,,gene,3,0,1,
LCN2,,,gene,1,0,4,
ENTPD1,,,gene,3,0,1,
TYK2,,,gene,3,0,3,
HSPA2,,,gene,3,0,1,
TMEM201,,,gene,3,0,1,
ICAM3,,,gene,3,0,1,
CISH,,,gene,3,0,1,
IL4R,,,gene,3,0,1,
IGFBP5,,,gene,3,0,1,
GLS,,,gene,3,0,1,
KIR2DL3,,,gene,3,0,1,
CARD8,,,gene,3,0,1,
GAST,,,gene,3,0,1,
SSTR5,,,gene,3,0,1,
FUT3,,,gene,3,0,1,
EIF2A,,,gene,3,0,1,
KCNN4,,,gene,3,0,1,
KIR2DL2,,,gene,3,0,1,
IBD3,,,gene,3,0,1,
ARTN,,,gene,3,0,1,
RAF1,,,gene,3,0,1,
MCL1,,,gene,3,0,1,
NCR1,,,gene,3,0,1,
GPX2,,,gene,3,0,1,
RABEPK,,,gene,3,0,2,
LRRK2,,,gene,3,0,1,
TNFRSF6B,,,gene,3,0,2,
TCF7L2,,,gene,3,0,1,
GP2,,,gene,3,0,1,
RPSA,,,gene,2,0,2,
ACKR2,,,gene,3,0,1,
TFF3,,,gene,3,0,1,
CEACAM6,,,gene,3,0,1,
FUT2,,,gene,3,0,1,
NOX1,,,gene,3,0,1,
CXCL9,,,gene,2,0,2,
TPMT,,,gene,3,0,1,
PGLYRP1,,,gene,3,0,1,
IL18RAP,,,gene,3,0,1,
PLD2,,,gene,3,0,1,
NCF4,,,gene,3,0,1,
IL26,,,gene,3,0,1,
FFAR4,,,gene,3,0,1,
SLC22A5,,,gene,3,0,1,
CNTNAP3,,,gene,3,0,1,
EIF2AK4,,,gene,3,0,1,
LY75,,,gene,3,0,1,
EIF2S1,,,gene,3,0,1,
CHUK,,,gene,3,0,1,
DEFA5,,,gene,3,0,1,
LRBA,,,gene,3,0,1,
ARSD,,,gene,3,0,1,
ORMDL3,,,gene,3,0,1,
GPX1,,,gene,3,0,1,
SLCO6A1,,,gene,3,0,1,
RTN1,,,gene,3,0,1,
FCAR,,,gene,1,0,1,
TIMP2,,,gene,0,0,2,
SCGB1A1,,,gene,0,0,1,
BTNL2,,,gene,0,0,1,
ESAT,,,gene,0,0,1,
TF,,,gene,0,0,2,
TST,,,gene,0,0,1,
VIM,,,gene,0,0,2,
NTM,,,gene,0,0,1,
FCGR3B,,,gene,0,0,2,
FHIT,,,gene,0,0,1,
CBLIF,,,gene,0,0,1,
TNFRSF13B,,,gene,0,0,2,
MRC1,,,gene,0,0,1,
ANXA11,,,gene,0,0,1,
MGMT,,,gene,0,0,1,
ING4,,,gene,0,0,1,
C10orf67,,,gene,0,0,1,
ZNF398,,,gene,0,0,1,
NDC80,,,gene,0,0,1,
FIBROMYALGIA,,,disease,2,0,25,FIBROMYALGIA
PSORIASIS,Psoriasis,,disease,2,0,347,PSORIASIS
IGF1,,,gene,2,0,6,
GH1,,,gene,2,0,7,
CTSK,,,gene,4,0,2,
LEP,,,gene,2,0,9,
TAC1,,,gene,2,0,7,
NPY,,,gene,2,0,2,
CRH,,,gene,2,0,4,
GRN,,,gene,2,0,4,
CXCL8,,,gene,2,0,11,
WAS,,,gene,2,0,2,
NGF,,,gene,2,0,6,
TNFAIP3,,,gene,2,0,3,
TNFRSF1A,,,gene,2,0,3,
OSM,,,gene,2,0,2,
CCR1,,,gene,2,0,2,
ASIC3,,,gene,2,0,2,
IL19,,,gene,2,0,2,
HDAC9,,,gene,2,0,2,
TRAF6,,,gene,2,0,3,
DPP4,,,gene,2,0,2,
CAT,,,gene,2,0,6,
TREM1,,,gene,2,0,2,
JUN,,,gene,2,0,2,
TIMP3,,,gene,2,0,2,
NR4A2,,,gene,2,0,2,
LYN,,,gene,2,0,3,
TSLP,,,gene,2,0,2,
PI3,,,gene,2,0,2,
TEK,,,gene,2,0,2,
BSG,,,gene,2,0,2,
NOTCH1,,,gene,2,0,2,
ARMH1,,,gene,2,0,2,
EMD,,,gene,2,0,2,
LPA,,,gene,2,0,2,
HRH4,,,gene,2,0,2,
PGLYRP2,,,gene,0,0,2,
CCN1,,,gene,2,0,2,
KLRB1,,,gene,3,0,2,
NFKBIA,,,gene,3,0,2,
BDNF,,,gene,2,0,4,
HPSE,,,gene,2,0,1,
SCN9A,,,gene,2,0,1,
TKT,,,gene,2,0,1,
SLC6A4,,,gene,2,0,2,
COMT,,,gene,2,0,2,
ZNF77,,,gene,2,0,1,
MAP1LC3A,,,gene,2,0,1,
LXN,,,gene,2,0,1,
CDKN2A,,,gene,2,0,1,
PLAT,,,gene,1,0,2,
ADCY1,,,gene,2,0,1,
CDSN,,,gene,2,0,1,
CCHCR1,,,gene,2,0,1,
SERPINB13,,,gene,2,0,1,
EIF2AK1,,,gene,2,0,1,
HLA-DQA1,,,gene,2,0,1,
MVD,,,gene,2,0,1,
TGFA,,,gene,2,0,1,
ARG1,,,gene,2,0,1,
IL20,,,gene,2,0,1,
PRKD1,,,gene,2,0,1,
S100A14,,,gene,2,0,1,
OCLN,,,gene,2,0,1,
PLAAT4,,,gene,2,0,1,
ZNF750,,,gene,2,0,1,
CRHR1,,,gene,2,0,1,
DUT,,,gene,2,0,1,
FGF7,,,gene,2,0,1,
MASP2,,,gene,2,0,1,
LCE3C,,,gene,2,0,1,
JUNB,,,gene,2,0,1,
ADAM33,,,gene,2,0,1,
KCNA3,,,gene,2,0,1,
GLP1R,,,gene,2,0,1,
FLG,,,gene,2,0,1,
KLK7,,,gene,2,0,1,
RPTOR,,,gene,2,0,1,
ENPEP,,,gene,2,0,1,
PPARD,,,gene,2,0,1,
KRT10,,,gene,2,0,1,
HLA-DRB3,,,gene,2,0,1,
LCE3B,,,gene,2,0,1,
ELOVL6,,,gene,2,0,1,
TJP1,,,gene,2,0,1,
IL20RB,,,gene,2,0,1,
KRT17,,,gene,2,0,1,
MMP19,,,gene,2,0,1,
JAK1,,,gene,2,0,1,
IGF1R,,,gene,2,0,1,
AREG,,,gene,2,0,1,
FGF10,,,gene,2,0,1,
TGM1,,,gene,2,0,1,
ALOX12,,,gene,2,0,1,
S100A7,,,gene,2,0,1,
NUCB2,,,gene,2,0,1,
PDE4A,,,gene,2,0,1,
MIR1266,,,gene,2,0,1,
IFIH1,,,gene,2,0,2,
PDC,,,gene,2,0,1,
NR4A1,,,gene,2,0,1,
PROK2,,,gene,2,0,1,
RAC1,,,gene,2,0,1,
IL24,,,gene,2,0,1,
CARD14,,,gene,2,0,1,
FOSL1,,,gene,2,0,1,
MIR203A,,,gene,2,0,1,
HPGDS,,,gene,2,0,1,
ATP6V0A4,,,gene,2,0,1,
KLK1,,,gene,2,0,1,
CKAP4,,,gene,2,0,1,
DUSP1,,,gene,2,0,1,
LANCL1,,,gene,2,0,1,
PPARA,,,gene,2,0,1,
CD6,,,gene,2,0,1,
IL16,,,gene,2,0,1,
NRIP1,,,gene,2,0,1,
PSORS4,,,gene,2,0,1,
KLK8,,,gene,2,0,1,
IL36RN,,,gene,2,0,1,
MIR99A,,,gene,2,0,1,
MIR491,,,gene,2,0,1,
IL22RA2,,,gene,2,0,1,
CXCL11,,,gene,2,0,1,
TREX2,,,gene,2,0,1,
GPRIN1,,,gene,2,0,1,
ANGPTL6,,,gene,2,0,1,
PRRT2,,,gene,2,0,1,
G6PD,,,gene,2,0,1,
AKR1B10,,,gene,2,0,1,
ADAM23,,,gene,2,0,1,
CD1A,,,gene,2,0,1,
CKLF,,,gene,2,0,1,
KRT16,,,gene,2,0,1,
CCNE1,,,gene,2,0,1,
ODC1,,,gene,2,0,1,
NDUFB6,,,gene,2,0,1,
FLVCR1,,,gene,2,0,1,
PRINS,,,gene,2,0,1,
FABP5,,,gene,2,0,1,
PRKCA,,,gene,2,0,1,
MYOM2,,,gene,2,0,1,
RHCE,,,gene,2,0,1,
IL36A,,,gene,2,0,1,
CCR10,,,gene,2,0,1,
IL1RL2,,,gene,2,0,1,
PSORS1C1,,,gene,2,0,1,
KLK6,,,gene,2,0,1,
DEFB104A,,,gene,2,0,1,
MSX2,,,gene,2,0,1,
KRT14,,,gene,2,0,1,
IL36G,,,gene,2,0,1,
MIR205,,,gene,2,0,1,
KRT5,,,gene,2,0,1,
CASP14,,,gene,2,0,1,
ETV3,,,gene,2,0,1,
MBTPS1,,,gene,2,0,1,
PML,,,gene,2,0,1,
MIR135B,,,gene,2,0,1,
MIR378A,,,gene,2,0,1,
ADAMTSL5,,,gene,2,0,1,
ACUTE GOUT,,,disease,4,0,3,ACUTE GOUT
ARTHRITIS,Arthritis,,disease,0,0,492,ARTHRITIS
BONE INFECTION,,,disease,3,0,9,BONE INFECTION
BONE PAGET DISEASE,Paget disease,,disease,4,0,17,BONE PAGET DISEASE
CHRONIC ULCERATIVE COLITIS,Chronic ulcerative colitis,,disease,3,0,248,CHRONIC ULCERATIVE COLITIS
LYME DISEASE,Lyme disease,,disease,0,0,64,LYME DISEASE
POMC,,,gene,4,0,10,
CRP,,,gene,3,0,16,
IL1B,,,gene,4,0,15,
PTGS2,,,gene,4,0,6,
ESR1,,,gene,3,0,8,
PTH,,,gene,4,0,7,
TNFSF11,,,gene,4,0,6,
TNFRSF11B,,,gene,4,0,8,
VDR,,,gene,3,0,8,
BGLAP,,,gene,4,0,6,
NOS2,,,gene,4,0,4,
SOST,,,gene,4,0,4,
IL1A,,,gene,0,0,14,
SOD1,,,gene,0,0,8,
IFNG,,,gene,3,0,14,
CDH1,,,gene,3,0,2,
FGF2,,,gene,4,0,7,
DPEP1,,,gene,3,0,3,
IL4,,,gene,0,0,10,
IL12A,,,gene,0,0,10,
F2RL1,,,gene,0,0,1,
IL32,,,gene,0,0,1,
HSPA5,,,gene,0,0,1,
TLR2,,,gene,0,0,8,
CXCR2,,,gene,0,0,4,
SYK,,,gene,0,0,3,
LGALS9,,,gene,0,0,1,
SOCS3,,,gene,3,0,3,
FN1,,,gene,0,0,7,
PLAU,,,gene,0,0,1,
MAPK8,,,gene,3,0,4,
IL22,,,gene,1,0,6,
TIMP1,,,gene,3,0,4,
NCF1,,,gene,0,0,1,
TNC,,,gene,1,0,4,
TBCA,,,gene,0,0,1,
IL7,,,gene,0,0,1,
S100A9,,,gene,3,0,3,
NFE2L2,,,gene,4,0,4,
NLRP3,,,gene,3,0,4,
TLR3,,,gene,1,0,4,
IGHG1,,,gene,3,0,3,
MIR155,,,gene,0,0,6,
PTGES,,,gene,0,0,1,
NOG,,,gene,0,0,1,
IKBKB,,,gene,3,0,2,
CDH11,,,gene,0,0,1,
IL11,,,gene,0,0,4,
ACAN,,,gene,0,0,1,
GGTLC1,,,gene,0,0,1,
SERPINA4,,,gene,0,0,1,
RSPO1,,,gene,0,0,1,
S100A8,,,gene,3,0,3,
DLX4,,,gene,0,0,1,
CD55,,,gene,0,0,1,
PLAUR,,,gene,0,0,2,
MAP2K3,,,gene,0,0,1,
IL6ST,,,gene,0,0,1,
SLPI,,,gene,0,0,1,
KNG1,,,gene,0,0,1,
ANG,,,gene,0,0,1,
SH2B2,,,gene,0,0,1,
CHI3L2,,,gene,0,0,1,
VSIG4,,,gene,0,0,1,
ADGRE5,,,gene,0,0,1,
PIK3CG,,,gene,0,0,1,
BCL2L1,,,gene,0,0,1,
ITGA1,,,gene,0,0,1,
PYCARD,,,gene,0,0,1,
F8,,,gene,0,0,1,
FCGRT,,,gene,0,0,1,
FSTL1,,,gene,0,0,1,
NMU,,,gene,0,0,1,
MIA,,,gene,0,0,1,
PLG,,,gene,0,0,4,
KIR3DL2,,,gene,0,0,1,
IL1R1,,,gene,0,0,1,
SEMA3A,,,gene,0,0,1,
CFP,,,gene,0,0,2,
TNFAIP6,,,gene,0,0,1,
ITGAX,,,gene,0,0,1,
FLT3,,,gene,0,0,1,
LTB,,,gene,0,0,1,
MAP2K6,,,gene,0,0,1,
ITGAL,,,gene,0,0,5,
PRG4,,,gene,0,0,1,
CLEC7A,,,gene,3,0,3,
IGKV2D-29,,,gene,0,0,1,
PTGER2,,,gene,0,0,1,
MMP13,,,gene,1,0,3,
PDLIM4,,,gene,0,0,1,
LTB4R,,,gene,0,0,1,
BCL2L11,,,gene,0,0,1,
FOS,,,gene,0,0,1,
FST,,,gene,0,0,1,
CIT,,,gene,0,0,1,
CEL,,,gene,0,0,1,
STEAP4,,,gene,0,0,1,
CYBB,,,gene,0,0,1,
MAP3K7,,,gene,0,0,1,
MTA2,,,gene,0,0,1,
PCLAF,,,gene,3,0,2,
NRP1,,,gene,0,0,2,
NAMPT,,,gene,3,0,3,
MASP1,,,gene,0,0,1,
PRKAB1,,,gene,0,0,1,
ALOX5,,,gene,3,0,3,
FGF21,,,gene,0,0,1,
BIRC5,,,gene,0,0,1,
IL1RL1,,,gene,3,0,2,
MMP1,,,gene,1,0,3,
TMED1,,,gene,0,0,1,
F2RL3,,,gene,0,0,1,
MAPK13,,,gene,0,0,1,
SLC16A4,,,gene,0,0,1,
CLEC12A,,,gene,0,0,1,
CPB2,,,gene,3,0,2,
SERPINA5,,,gene,0,0,1,
MAPK14,,,gene,0,0,1,
HTRA1,,,gene,0,0,2,
CDKN1A,,,gene,3,0,3,
ADAMTS12,,,gene,0,0,1,
ADORA2A,,,gene,0,0,1,
MIR26A1,,,gene,0,0,1,
RHBDF2,,,gene,0,0,1,
ADAMTS5,,,gene,0,0,1,
RHOB,,,gene,0,0,1,
AIM2,,,gene,0,0,1,
ORAI1,,,gene,0,0,1,
C1QTNF6,,,gene,0,0,1,
MMP8,,,gene,0,0,1,
IDO1,,,gene,0,0,1,
CARD9,,,gene,0,0,1,
PADI2,,,gene,0,0,1,
CCR6,,,gene,3,0,4,
IDO2,,,gene,0,0,1,
KLKB1,,,gene,0,0,1,
SETBP1,,,gene,0,0,1,
RIPK3,,,gene,0,0,1,
NPTX1,,,gene,0,0,1,
SDC4,,,gene,0,0,1,
OLR1,,,gene,0,0,1,
MIR10A,,,gene,0,0,1,
TBX5,,,gene,0,0,1,
CTSL,,,gene,0,0,1,
CCL20,,,gene,3,0,3,
JAK3,,,gene,3,0,2,
IL7R,,,gene,3,0,2,
BCKDHA,,,gene,0,0,1,
STAT5A,,,gene,0,0,1,
PRDX2,,,gene,0,0,1,
MST1,,,gene,3,0,2,
VSIR,,,gene,0,0,1,
MMP14,,,gene,0,0,1,
DNASE2,,,gene,0,0,1,
TWIST1,,,gene,0,0,1,
MAP3K14,,,gene,0,0,1,
MSH5,,,gene,0,0,1,
PLA2G10,,,gene,0,0,1,
SOD3,,,gene,0,0,1,
SPG7,,,gene,0,0,1,
FLT3LG,,,gene,0,0,1,
CLEC5A,,,gene,0,0,1,
ITGA2,,,gene,0,0,1,
SIK3,,,gene,0,0,1,
MAPK12,,,gene,0,0,1,
ADCYAP1,,,gene,0,0,1,
TIMP4,,,gene,0,0,1,
MARCKSL1,,,gene,0,0,1,
CCL3,,,gene,1,0,3,
CST4,,,gene,0,0,1,
FHL2,,,gene,0,0,1,
TCIRG1,,,gene,0,0,1,
NOS1,,,gene,0,0,1,
CD14,,,gene,0,0,7,
PRKCQ,,,gene,0,0,1,
CCL11,,,gene,3,0,3,
GHSR,,,gene,0,0,1,
TXN,,,gene,3,0,2,
TRPA1,,,gene,0,0,1,
KLF2,,,gene,0,0,1,
ICOSLG,,,gene,0,0,1,
DRD2,,,gene,0,0,1,
TNFRSF18,,,gene,0,0,1,
TRPV3,,,gene,0,0,1,
F2R,,,gene,0,0,1,
DCN,,,gene,0,0,3,
GRK6,,,gene,0,0,1,
B3GAT1,,,gene,0,0,1,
S1PR1,,,gene,3,0,2,
CORT,,,gene,0,0,1,
KDR,,,gene,1,0,4,
IRAK1,,,gene,3,0,4,
TNFSF18,,,gene,0,0,1,
SPHK1,,,gene,0,0,1,
GRK2,,,gene,0,0,1,
MYD88,,,gene,0,0,3,
CTSC,,,gene,0,0,1,
GAPDH,,,gene,0,0,2,
PGF,,,gene,3,0,2,
INHBE,,,gene,0,0,1,
NPPB,,,gene,0,0,1,
HK1,,,gene,0,0,1,
SPHK2,,,gene,0,0,1,
ADAMTS4,,,gene,0,0,1,
DLL1,,,gene,0,0,1,
NPS,,,gene,0,0,1,
VEGFC,,,gene,0,0,1,
MET,,,gene,3,0,2,
MSTN,,,gene,0,0,1,
UNC5B,,,gene,0,0,1,
GSN,,,gene,0,0,1,
SLC19A1,,,gene,0,0,1,
CXCR6,,,gene,0,0,1,
CTHRC1,,,gene,0,0,1,
OPRM1,,,gene,0,0,1,
ACACA,,,gene,0,0,1,
NTN1,,,gene,0,0,1,
FZD8,,,gene,0,0,1,
AMIGO2,,,gene,0,0,1,
GZMA,,,gene,0,0,1,
NRDC,,,gene,0,0,1,
MAP2K7,,,gene,0,0,1,
SERPINA6,,,gene,0,0,1,
CDK5R1,,,gene,0,0,1,
CALR,,,gene,1,0,2,
RPL17,,,gene,0,0,1,
UBB,,,gene,4,0,2,
C3AR1,,,gene,0,0,1,
DEK,,,gene,0,0,1,
CD38,,,gene,0,0,1,
BDKRB1,,,gene,0,0,1,
GSK3B,,,gene,0,0,1,
MC3R,,,gene,0,0,1,
CTSH,,,gene,0,0,1,
MAS1,,,gene,0,0,1,
CASP8,,,gene,3,0,3,
CD68,,,gene,0,0,1,
ADRB2,,,gene,0,0,1,
DUSP2,,,gene,0,0,1,
CYCS,,,gene,0,0,1,
ENPP2,,,gene,0,0,1,
STAT6,,,gene,3,0,2,
LRG1,,,gene,3,0,2,
CD1D,,,gene,0,0,1,
RYR1,,,gene,0,0,1,
FFAR2,,,gene,0,0,1,
SUCNR1,,,gene,0,0,1,
SERPINB3,,,gene,3,0,2,
NAB2,,,gene,3,0,1,
SQSTM1,,,gene,4,0,1,
CEACAM5,,,gene,4,0,3,
RIN3,,,gene,4,0,1,
VCP,,,gene,4,0,1,
ERBB2,,,gene,4,0,1,
TARDBP,,,gene,4,0,1,
TNFRSF11A,,,gene,4,0,1,
S100A1,,,gene,4,0,1,
BAX,,,gene,3,0,1,
TPM3,,,gene,3,0,1,
PMP22,,,gene,3,0,1,
KRAS,,,gene,3,0,1,
ELAVL1,,,gene,3,0,1,
SDC1,,,gene,3,0,3,
CABIN1,,,gene,3,0,2,
PTPN11,,,gene,3,0,1,
CXCL2,,,gene,3,0,1,
WNT5A,,,gene,3,0,2,
MIR126,,,gene,3,0,2,
CCL7,,,gene,3,0,1,
EPX,,,gene,3,0,1,
CCL16,,,gene,3,0,1,
S100B,,,gene,3,0,2,
REG4,,,gene,3,0,1,
PECAM1,,,gene,3,0,1,
KRT76,,,gene,3,0,1,
CCND1,,,gene,3,0,1,
SCAI,,,gene,3,0,1,
TCN2,,,gene,3,0,1,
TRAP1,,,gene,3,0,1,
MICB,,,gene,3,0,1,
ALPI,,,gene,3,0,1,
HMGB2,,,gene,3,0,1,
GPR35,,,gene,3,0,1,
MIR142,,,gene,3,0,2,
RTCA,,,gene,3,0,1,
